Time,1,2,3
123.538760,-5744.004934,-36836.127858,-29534.558002
123.542788,-5745.769232,-36838.082890,-29536.322300
123.546816,-5745.578497,-36837.510686,-29538.134281
123.550844,-5744.052618,-36836.127858,-29537.371342
123.554872,-5744.481772,-36834.935765,-29537.419026
123.558900,-5746.246069,-36835.746388,-29538.038914
123.562928,-5746.055334,-36837.033848,-29538.086598
123.566956,-5746.961325,-36839.084248,-29538.372700
123.570984,-5748.391837,-36840.800862,-29539.517109
123.575012,-5750.060767,-36843.137365,-29539.946263
123.579040,-5750.299186,-36839.990239,-29538.706486
123.583068,-5749.822348,-36838.416676,-29538.658802
123.587096,-5750.442237,-36839.561086,-29539.803212
123.591124,-5750.823706,-36840.180974,-29539.660161
123.595152,-5748.153418,-36837.749104,-29538.897221
123.599180,-5745.864599,-36838.559727,-29538.372700
123.603208,-5747.152060,-36838.225941,-29537.228291
123.607236,-5746.722906,-36836.461644,-29535.511677
123.611264,-5745.387762,-36834.888081,-29533.795063
123.615292,-5746.341437,-36834.315876,-29533.175174
123.619320,-5746.103018,-36834.172825,-29532.078449
123.623348,-5744.815558,-36833.457569,-29530.600253
123.627376,-5744.434088,-36832.837681,-29528.263751
123.631404,-5744.291037,-36832.646946,-29527.119342
123.635432,-5742.765158,-36830.787281,-29524.258318
123.639460,-5742.574423,-36828.546146,-29523.161593
123.643488,-5742.240637,-36828.832248,-29522.207918
123.647516,-5741.716116,-36829.738239,-29521.349611
123.651544,-5742.002218,-36829.547504,-29520.634356
123.655572,-5744.195669,-36830.358127,-29520.920458
123.659600,-5744.004934,-36828.260044,-29518.345537
123.663628,-5742.622106,-36824.349978,-29516.342821
123.667656,-5741.191595,-36821.298220,-29514.959993
123.671684,-5742.431372,-36820.582964,-29514.054002
123.675712,-5742.574423,-36819.867709,-29514.340104
123.679740,-5742.574423,-36821.441271,-29516.485872
123.683768,-5741.716116,-36823.730090,-29518.679323
123.687796,-5741.906851,-36824.397662,-29519.728365
123.691824,-5739.570348,-36823.920825,-29519.776049
123.695852,-5737.901418,-36824.016192,-29518.250170
123.699880,-5738.807409,-36825.971225,-29518.297853
123.703908,-5740.953176,-36826.495746,-29518.202486
123.707936,-5741.906851,-36826.638797,-29518.250170
123.711964,-5742.860525,-36825.780490,-29518.631639
123.715992,-5742.812841,-36823.539355,-29518.917742
123.720020,-5741.620748,-36819.200137,-29518.393221
123.724048,-5742.192953,-36817.340471,-29517.153444
123.728076,-5742.383688,-36816.768267,-29516.581239
123.732104,-5741.620748,-36817.388155,-29517.201128
123.736132,-5741.906851,-36820.439913,-29518.202486
123.740160,-5741.191595,-36821.441271,-29519.013109
123.744188,-5740.380971,-36821.107485,-29519.108477
123.748216,-5740.619390,-36821.298220,-29519.871416
123.752244,-5740.953176,-36821.012118,-29520.062151
123.756272,-5740.524023,-36818.389513,-29519.203844
123.760300,-5740.524023,-36818.866351,-29517.534914
123.764328,-5740.237920,-36819.629290,-29517.248811
123.768356,-5738.902776,-36818.389513,-29517.248811
123.772384,-5738.950460,-36815.862276,-29515.675249
123.776412,-5738.712041,-36816.291430,-29514.673890
123.780440,-5738.473623,-36816.529848,-29514.864625
123.784468,-5738.235204,-36815.337755,-29514.340104
123.788496,-5738.187520,-36815.147020,-29513.148011
123.792524,-5736.995427,-36818.246462,-29512.623490
123.796552,-5737.186162,-36818.818667,-29512.385072
123.800580,-5737.901418,-36817.197420,-29513.148011
123.804608,-5737.281530,-36816.672899,-29513.910951
123.808636,-5736.566274,-36816.768267,-29513.958635
123.812664,-5737.186162,-36815.194704,-29514.673890
123.816692,-5736.470906,-36812.572099,-29514.578523
123.820720,-5735.994069,-36812.190630,-29512.909593
123.824748,-5736.375539,-36812.953569,-29513.195695
123.828776,-5736.280171,-36812.524416,-29513.052644
123.832804,-5736.041753,-36811.761476,-29512.909593
123.836832,-5735.898702,-36811.618425,-29513.672532
123.840860,-5736.137120,-36812.572099,-29514.101686
123.844888,-5735.326497,-36811.713792,-29513.624849
123.848916,-5735.183446,-36810.187913,-29513.148011
123.852944,-5735.851018,-36810.044862,-29512.718858
123.856972,-5735.421864,-36809.949495,-29511.669816
123.861000,-5735.278813,-36808.948136,-29511.288346
123.865028,-5738.092153,-36810.950853,-29511.860551
123.869056,-5738.712041,-36812.333681,-29512.814225
